"miRNA1","miRNA2","TF","hgnc_symbol_tf","Target","hgnc_symbol_target","ModeOfRegulation","TwoVar_mirna1_tf","TwoVar_mirna2_tf","mirna1mirna2_tf","TwoVar_mirna1_target","TwoVar_mirna2_target","mirna1mirna2_target"
"hsa-let-7g-3p","hsa-mir-33a-5p",27086,"FOXP1",26121,"PRPF31",-1,5e-04,0,0,0.014,0.0195,0.0095
"hsa-mir-429","hsa-mir-548b-3p",6667,"SP1",27430,"MAT2B",1,0.0035,0.0015,0.8105,0.0135,0.033,0.0095
"hsa-mir-204-5p","hsa-mir-33a-5p",6667,"SP1",29117,"BRD7",1,0.006,0,0.5925,0.092,0.9295,0.005
"hsa-mir-29b-3p","hsa-mir-30a-5p",7528,"YY1",51107,"APH1A",1,0,0.001,0.1335,0.175,0.017,0.003
"hsa-mir-130a-3p","hsa-mir-30a-5p",7528,"YY1",51107,"APH1A",1,0.003,0.001,0.0325,0.178,0.03,0.0065
"hsa-mir-26b-3p","hsa-mir-362-5p",7003,"TEAD1",51232,"CRIM1",1,0.005,0,0.088,0.2415,0.1095,0.002
"hsa-mir-196b-5p","hsa-mir-221-5p",7182,"NR2C2",55187,"VPS13D",1,0,0.001,0.489,0.05,0.0185,0.006
"hsa-mir-424-5p","hsa-mir-450b-5p",2627,"GATA6",55553,"SOX6",1,0,0.001,0.0145,0.0345,0.1615,0.005
"hsa-mir-20b-5p","hsa-mir-363-3p",1523,"CUX1",55852,"TEX2",1,0,0,0.0145,0.039,0.118,0
"hsa-mir-370-3p","hsa-mir-93-3p",27086,"FOXP1",57157,"PHTF2",-1,0.0035,0,0.2305,0.0335,0.0725,0
"hsa-mir-409-3p","hsa-mir-93-3p",27086,"FOXP1",57157,"PHTF2",-1,0,0,0.218,0.029,0.063,0.001
"hsa-mir-19a-3p","hsa-mir-20b-5p",9575,"CLOCK",64759,"TNS3",1,0.0015,0.002,0.01,0.0155,0.145,0.0065
"hsa-mir-34b-3p","hsa-mir-34c-5p",7528,"YY1",79102,"RNF26",1,0.0035,0,0.001,0.06,0.0525,0.0095
"hsa-mir-324-5p","hsa-mir-429",3091,"HIF1A",79365,"BHLHE41",1,5e-04,0,0.0085,0.048,0.362,0.004
"hsa-mir-29a-5p","hsa-mir-324-5p",3091,"HIF1A",79365,"BHLHE41",1,5e-04,5e-04,0.0455,0.7965,0.0215,0
"hsa-mir-130a-3p","hsa-mir-324-5p",3091,"HIF1A",79365,"BHLHE41",1,0.001,5e-04,0.3805,0.195,0.027,0
"hsa-mir-20a-5p","hsa-mir-29c-3p",6925,"TCF4",79899,"PRR5L",1,0,0,0.0285,0.062,0.132,0.009
"hsa-mir-505-5p","hsa-mir-939-5p",51341,"ZBTB7A",80725,"SRCIN1",-1,0.009,0.0065,0.231,0.1655,0.0115,0.007
"hsa-mir-183-5p","hsa-mir-301b-3p",1316,"KLF6",84159,"ARID5B",1,0,0.002,0.355,0.1955,0.029,5e-04
"hsa-mir-29a-5p","hsa-mir-301a-3p",6925,"TCF4",84441,"MAML2",1,0,0.002,0,0.035,0.018,0.0065
"hsa-mir-29c-3p","hsa-mir-34c-5p",4150,"MAZ",126321,"MFSD12",1,0,0.0095,0.025,0.197,0.5655,0.0075
"hsa-mir-200a-3p","hsa-mir-424-5p",2627,"GATA6",153769,"SH3RF2",1,0,5e-04,0.0505,0.0275,0.177,0.009
"hsa-mir-1-3p","hsa-mir-30c-2-3p",4150,"MAZ",199990,"FAAP20",1,0,0,0,0.086,0.148,0.0035
"hsa-mir-589-3p","hsa-mir-675-3p",367,"AR",400451,"FAM174B",1,0.009,0.002,0.0155,0.0535,0.068,0.0095
